# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
Afu1g01250	Afu1g01250	Afu1g01250-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu1g01260	Afu1g01260	Afu1g01260-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu1g01265	Afu1g01265	Afu1g01265-T	protein_coding	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
Afu1g01270	Afu1g01270	Afu1g01270-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu1g01280	Afu1g01280	Afu1g01280-T	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
Afu1g01290	Afu1g01290	Afu1g01290-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Afu1g02330	Afu1g02330	Afu1g02330-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g02340	Afu1g02340	Afu1g02340-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g02360	Afu1g02360	Afu1g02360-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g02980	Afu1g02980	Afu1g02980-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g02985	Afu1g02985	Afu1g02985-T	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Afu1g02990	Afu1g02990	Afu1g02990-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g03040	Afu1g03040	Afu1g03040-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g03050	Afu1g03050	Afu1g03050-T	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Afu1g03060	Afu1g03060	Afu1g03060-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g03070	Afu1g03070	Afu1g03070-T	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
Afu1g04550	Afu1g04550	Afu1g04550-T	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
